word,rank,frequency,source,level,tags,translation,bnc,frq
the,1,1.00000000,ecdict_education,zk,zk gk,art. 那,1,1
be,2,0.50000000,ecdict_education,zk,zk gk,"v. 是, 表示, 在\n[计] 后端, 总线允许",2,2
and,3,0.33333333,ecdict_education,zk,zk gk,"conj. 和, 与\n[计] 与",4,3
of,4,0.25000000,ecdict_education,zk,zk gk,"prep. 的, 属于",3,4
in,5,0.16666667,ecdict_education,zk,zk gk ielts,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着\nadv. 进入, 朝里, 在里面, 在屋里\na. 在里面的, 在朝的\nn. 执政者, 交情",6,6
to,6,0.14285714,ecdict_education,zk,zk gk,"prep. 到, 向, 趋于\nadv. 向前",7,7
have,7,0.12500000,ecdict_education,zk,zk gk,"vt. 有, 怀有, 拿, 进行\naux. 已经",8,8
it,8,0.10000000,ecdict_education,zk,zk gk,"pron. 它\n[计] 信息论, 输入终端, 智能终端, 内捕获",9,10
that,9,0.08333333,ecdict_education,zk,zk gk,"a. 那, 那个\nconj. 以致, 因为\npron. 那\nadv. 那么, 那样",14,12
for,10,0.07692308,ecdict_education,zk,zk gk,"prep. 为, 因为, 至于\nconj. 因为\n[计] DOS批处理命令:对一组参数重复执行指定的命令",12,13
you,11,0.07142857,ecdict_education,zk,zk gk,"pron. 你, 你们",15,14
he,12,0.06666667,ecdict_education,zk,zk gk,"pron. 他\nn. 男孩, 男人, 雄性动物",11,15
with,13,0.06250000,ecdict_education,zk,zk gk,"prep. 和...在一起, 以, 由于",16,16
on,14,0.05882353,ecdict_education,zk,zk gk ielts,prep. 在...之上\nadv. ...上去\na. 正起作用的\n[计] 打开,17,17
do,15,0.05555556,ecdict_education,zk,zk gk,"v. 做, 进行, 完成",19,18
say,16,0.05263158,ecdict_education,zk,zk gk ielts,"vt. 说, 讲, 念, 说明, 指明\nvi. 说, 讲\nn. 意见, 发言权",32,19
this,17,0.05000000,ecdict_education,zk,zk gk,"pron. 这, 本\na. 这, 本\nadv. 这么",23,20
they,18,0.04761905,ecdict_education,zk,zk gk,"pron. 他们, 它们",18,21
at,19,0.04545455,ecdict_education,zk,zk gk,"prep. 在, 向, 对\n[计] 地址转换器, 异常传输, 自动订票",22,22
but,20,0.04347826,ecdict_education,zk,zk gk,prep. 除了\nconj. 但是\nadv. 仅仅,24,23
we,21,0.04166667,ecdict_education,zk,zk gk,pron. 我们,26,24
his,22,0.04000000,ecdict_education,zk,zk gk,pron. 他的\n[化] 组氨酸,25,25
from,23,0.03846154,ecdict_education,zk,zk gk,"prep. 从, 来自, 根据",27,26
not,24,0.03571429,ecdict_education,zk,zk gk,"adv. 不, 非, 未\n[计] 非",13,28
by,25,0.03333333,ecdict_education,zk,zk gk,"prep. 被, 经, 由, 在...之旁\nadv. 经过, 在近处",20,30
she,26,0.03225806,ecdict_education,zk,zk gk,pron. 她,21,31
or,27,0.03125000,ecdict_education,zk,zk gk,"conj. 或, 或者\n[计] 或",29,32
as,28,0.03030303,ecdict_education,zk,zk gk ielts,"adv. 同样地, 例如\nprep. 做为, 当作\nconj. 当...之时, 以...的方式, 像...一样, 因为\n[计] 高级系统, 先进系统, 辅助存储器, 自治系统",33,33
what,29,0.02941176,ecdict_education,zk,zk gk,"pron. 什么\ninterj. 怎么, 多么\na. 什么的\nadv. 到什么程度",38,34
go,30,0.02857143,ecdict_education,zk,zk gk ielts,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下\nvt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)\nn. 去, 尝试, 进行",44,35
their,31,0.02777778,ecdict_education,zk,zk gk,pron. 他们的,36,36
can,32,0.02702703,ecdict_education,zk,zk gk toefl,"vt. 装罐\nn. 罐头, 容器\naux. 能, 可以\n[计] 作废字符",35,37
who,33,0.02631579,ecdict_education,zk,zk gk,pron. 谁,45,38
get,34,0.02564103,ecdict_education,zk,zk gk ielts,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上\nvi. 到达, 成为, 变得\nn. (网球等)救球, 生殖, 幼兽\n[计] 取得指令, 获取文件",41,39
if,35,0.02500000,ecdict_education,zk,zk gk,"conj. 如果, 是否, 无论何时, 假设, 即使\nn. 条件\n[计] DOS批处理命令:根据所测试的条件决定是否执行另一条命令",40,40
would,36,0.02439024,ecdict_education,zk,zk gk,"aux. 将, 愿意",34,41
her,37,0.02380952,ecdict_education,zk,zk gk,"pron. 她的, 她",42,42
all,38,0.02325581,ecdict_education,zk,zk gk ielts,"a. 所有的, 全部的, 一切的\nadv. 全部, 全然\npron. 全部\nn. 全部",39,43
my,39,0.02272727,ecdict_education,zk,zk gk,pron. 我的\n[医] 迈尔(热容单位),61,44
make,40,0.02222222,ecdict_education,zk,zk gk ielts,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行\nvi. 开始, 前进, 增大, 被制造, 被处理\nn. 制造, 构造, 性情",43,45
about,41,0.02173913,ecdict_education,zk,zk gk,"prep. 在...周围, 大约, 有关, 关于\nadv. 大约, 四处, 在附近, 周围",63,46
know,42,0.02127660,ecdict_education,zk,zk gk,"v. 知道, 了解, 认识, 确信",49,47
will,43,0.02083333,ecdict_education,zk,zk gk,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱\nvt. 用意志的力量驱使, 决意, 愿意, 立遗嘱\nvi. 下决心, 愿意\naux. 将, 愿意, 必须",31,48
up,44,0.02000000,ecdict_education,zk,zk gk,"a. 向上的, 起床的, 涨的\nadv. 向上, 上涨\nprep. 在...上面, 向...的较高处",52,50
one,45,0.01960784,ecdict_education,zk,zk gk ielts,"n. 一(个)\npron. 一, 任何人\nnum. 一, 一个\na. 一致的, 完整的",46,51
time,46,0.01923077,ecdict_education,zk,zk gk ielts,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间\nvt. 测定...的时间, 记录...的时间, 计时, 定时\na. 时间的, 记时的, 定时的, 定期的, 分期的\n[计] DOS内部命令:用于显示或设定系统的时间",50,52
there,47,0.01886792,ecdict_education,zk,zk gk,adv. 在那里,37,53
year,48,0.01851852,ecdict_education,zk,zk gk,"n. 年, 年度, 年龄\n[经] 年度",56,54
so,49,0.01818182,ecdict_education,zk,zk gk,"adv. 如此, 如是, 如...那样\nconj. 所以, 因此\npron. 这样",48,55
think,50,0.01785714,ecdict_education,zk,zk gk,"vt. 想, 考虑, 想起, 想像, 打算, 认为\nvi. 思考, 料想\nn. 想法\na. 思想的",64,56
when,51,0.01754386,ecdict_education,zk,zk gk,"conj. 当...的时候\nadv. 何时, 什么时候\npron. 什么时侯\nn. 时间",54,57
which,52,0.01724138,ecdict_education,zk,zk gk,"pron. 哪一个, 那一个",28,58
them,53,0.01694915,ecdict_education,zk,zk gk,"pron. 他们, 她们, 它们",46212,59
some,54,0.01666667,ecdict_education,zk,zk gk,"pron. 一些, 一部分, 若干\nadv. 大约\na. 一些的, 少许的, 某一的",53,60
me,55,0.01639344,ecdict_education,zk,zk gk,pron. 我,15312,61
